gamma_mr,gamma_mc,ie_over_iw,in_over_ie,d_ie_iw_dlog_mr,d_ie_iw_dlog_mc,d_in_ie_dlog_mr,d_in_ie_dlog_mc,det_j,abs_det_j,cond_j,good_invertibility,good_condition,good_both
0.0222,0.0126,3.8872446935097122,1.7726005514165102,-0.03447959525767744,-0.008584297537109858,-0.0216445393841135,-0.009090231128579738,0.0001276243239852469,0.0001276243239852469,14.140136501817903,1,0,0
0.0222,0.0168,3.886172182220756,1.771464829423828,-0.035055898061508425,-0.009822596584973111,-0.0219046378736867,-0.010543553102053484,0.00015445330157854025,0.00015445330157854025,12.32637134757623,1,0,0
0.0222,0.0222,3.884828507339382,1.7700070226106648,-0.03396521255751364,-0.013319734916854738,-0.021448748456742217,-0.014038161709497015,0.0001911175026377117,0.0001911175026377117,10.305833718222798,1,0,0
0.0222,0.0295,3.88291533741672,1.768032320120363,-0.03370074616588773,-0.017568041366445106,-0.02130071974977359,-0.018533933038580887,0.0002503954470896981,0.0002503954470896981,8.839120826231222,1,1,1
0.0222,0.0391,3.880509864951744,1.7654509410782673,-0.03399625662187413,-0.02282949554674792,-0.021318030485374985,-0.024643588129455333,0.00035110986410143,0.00035110986410143,7.6697290892234165,1,1,1
0.0222,0.0518,3.8773333489692443,1.7620067719885049,-0.034001011899037745,-0.029610402095102958,-0.02133640873447241,-0.032101128510681365,0.0004596912105710219,0.0004596912105710219,7.521245578252563,1,1,1
0.0222,0.0687,3.873261831329071,1.7575932274942414,-0.0336565149788016,-0.038529980803075306,-0.021093697142785528,-0.0419787623568197,0.0006001190980764443,0.0006001190980764443,7.912828804144059,1,1,1
0.0222,0.091,3.867904614463807,1.7517340805186534,-0.03342547144739778,-0.05005334993848145,-0.021067357041413624,-0.055006445009483165,0.0007841245628145282,0.0007841245628145282,8.932715063522283,1,1,1
0.0222,0.121,3.860957284723765,1.7440710682972393,-0.03294774570241905,-0.06475822398236733,-0.02063046822396066,-0.0718862038837831,0.0010324958829667774,0.0010324958829667774,10.434397904842632,1,0,0
0.0222,0.16,3.8520337602176213,1.7341163110062936,-0.032378546395631196,-0.08343111082162721,-0.02023635624846021,-0.09382157824062316,0.001349464643184147,0.001349464643184147,12.682597058305877,1,0,0
0.0222,0.212,3.8406375967508284,1.7212207768867152,-0.031731244083701454,-0.1053208161088694,-0.01981482730027003,-0.12043433714826333,0.0017346175657895922,0.0017346175657895922,15.498795888685049,1,0,0
0.0222,0.281,3.826273727569461,1.70465971760417,-0.030883147870404817,-0.1311818087296622,-0.019249786763596326,-0.15336166259195935,0.0022110690581697355,0.0022110690581697355,18.966486718444585,1,0,0
0.0222,0.373,3.8084491266174276,1.6835899701174397,-0.029701045255214754,-0.1612448113454944,-0.01856239458635749,-0.19404907346745415,0.0027703704995915082,0.0027703704995915082,23.37706767010394,1,0,0
0.0222,0.494,3.786765422467608,1.6571136915627043,-0.028579952970504828,-0.19389039452480084,-0.017585341048986135,-0.2421548193620288,0.003511144635106778,0.003511144635106778,27.692310726394904,1,0,0
0.0222,0.655,3.761036629887284,1.6243752544564112,-0.027112581292396545,-0.2252114380260121,-0.016479385767876092,-0.29528127411496435,0.004294491381995627,0.004294491381995627,32.31698145596936,1,0,0
0.0222,0.869,3.7315226720432317,1.5846833129198543,-0.025468379626045815,-0.2526421151007042,-0.015158354241361026,-0.3545155564604743,0.005199298098291058,0.005199298098291058,36.59063875429966,1,0,0
0.0222,1.15,3.699276612480071,1.5377116080196351,0.004998032887330346,-0.29341588281670333,-0.013361431367761727,-0.41038726272578946,-0.0059715852161115746,0.0059715852161115746,42.63089417524414,1,0,0
0.0222,1.53,3.6594387066935314,1.483862795154072,-0.021604587714554615,-0.26722352404103134,-0.012013685396538678,-0.46280377472407497,0.006788345397269911,0.006788345397269911,42.13776951172929,1,0,0
0.0222,2.02,3.633899434266761,1.4244850312558228,-0.020070994593373328,-0.21707242710470337,-0.01025740594148602,-0.5022799416625285,0.007854657989951906,0.007854657989951906,38.15669444869519,1,0,0
0.0222,2.68,3.6065938649787466,1.3615860768822257,-0.018505791554231436,-0.2050601030845911,-0.008498307902055188,-0.5129682549221026,0.007750219705086253,0.007750219705086253,39.40586161303392,1,0,0
