gamma_mr,gamma_mc,i_east,i_north,ie_over_in
0.0212,0.045,0.02056669809367274,0.03402608187013286,0.6044392114310878
0.0212,0.0543,0.02059876106410125,0.03400741918433021,0.6057137400650697
0.0212,0.0655,0.02063710762721972,0.03398508400078223,0.6072401535551515
0.0212,0.0791,0.02068296022937023,0.03395846585672222,0.6090663905912566
0.0212,0.0954,0.02073778974557463,0.03392690581906915,0.6112490734100079
0.0212,0.115,0.02080324649481818,0.03388963310818172,0.6138528094538681
0.0212,0.139,0.02088127128023947,0.03384585062786201,0.6169521785648354
0.0212,0.168,0.02097401201883671,0.03379468497207493,0.6206304937053816
0.0212,0.202,0.02108396554043309,0.03373533904641682,0.6249815812262455
0.0212,0.244,0.02121391215828457,0.03366711981691982,0.6301077215290412
0.0212,0.295,0.02136694073371786,0.03358958918673429,0.6361179535400932
0.0212,0.356,0.02154643059391026,0.03350274448624495,0.6431243447161907
0.0212,0.429,0.02175601840038623,0.03340726906371892,0.6512360635911356
0.0212,0.518,0.02199956136180868,0.03330486455765078,0.6605509931958258
0.0212,0.625,0.02228108950127755,0.03319865759715344,0.6711442905808336
0.0212,0.754,0.02260477995956037,0.03309368038482562,0.683054277937769
0.0212,0.91,0.02297493271961136,0.03299735075889974,0.6962659786684475
0.0212,1.1,0.02340738390662544,0.03294334078920488,0.7105346132440747
0.0212,1.33,0.02388438727144166,0.0328974453710161,0.7260255926280743
0.0212,1.6,0.0244105088356323,0.03287805107401728,0.7424560774809226
0.0212,1.93,0.02502823218025651,0.03297219741807171,0.7590707972207762
0.0212,2.33,0.02569566781923345,0.03311077774882049,0.7760514722475469
0.0212,2.81,0.02647413404550802,0.03340695092180267,0.7924738210163914
0.0212,3.39,0.02732036438381987,0.0337911606105188,0.808506245130727
0.0212,4.09,0.02829005085098859,0.03435349391216583,0.8234985042080405
0.0212,4.94,0.02940200583866949,0.03511556568060785,0.8372926726026344
0.0212,5.96,0.03061961434130168,0.03601481146209504,0.8501950474884005
0.0212,7.2,0.03200993790276657,0.03713985436410357,0.8618756979754029
0.0212,8.69,0.03359208253263944,0.03850426231550601,0.8724250384901313
0.0212,10.5,0.03532852404929358,0.04004551620405514,0.8822092308480745
0.0212,12.6,0.03721064484832009,0.04174521381372046,0.8913751170221581
0.0212,15.3,0.03929031904860668,0.04366626637422907,0.8997865471684799
0.0212,18.4,0.04157178844825796,0.0458083798335398,0.9075149262934661
0.0212,22.2,0.04394797940107262,0.04803408577069366,0.9149331916271416
0.0212,26.8,0.046371878367485,0.05028451874228458,0.9221899607938493
0.0212,32.4,0.0489970154443943,0.05276639654894566,0.9285647428841401
0.0212,39.1,0.05150431857710684,0.05507765090579572,0.9351219184202197
0.0212,47.1,0.05421009175977354,0.05763450769758803,0.9405839301034267
0.0212,56.9,0.05663762387135868,0.05984377827654008,0.9464245992229026
0.0212,68.7,0.05931871835108503,0.06238546919617036,0.9508419046197766
0.0212,82.90000000000001,0.06176018056421479,0.06465212418707958,0.9552691630905032
0.0212,100,0.06377146364392061,0.06642660145804302,0.9600289980844576
0.0256,0.01,0.02042579339527097,0.03401389155132329,0.6005132745381589
0.0256,0.0121,0.02043389818160093,0.0340102481128666,0.6008159103629261
0.0256,0.0146,0.02044153664943974,0.03400417332224587,0.6011478784007576
0.0256,0.0176,0.0204533882558091,0.03399897056512709,0.6015884574101853
0.0256,0.0212,0.02046461563848224,0.03399031966439679,0.6020718793038575
0.0256,0.0256,0.02048058506573096,0.03398186897515981,0.6026915435611248
0.0256,0.0309,0.02050119011477507,0.03397266159160049,0.6034614055627557
0.0256,0.0373,0.0205244490827733,0.03396069219381342,0.6043589737700406
0.0256,0.045,0.02055240701464177,0.03394627844864706,0.6054391807848053
0.0256,0.0543,0.02058405019901276,0.03392761122755129,0.606704965491271
0.0256,0.0655,0.02062219855784294,0.03390546294512085,0.6082264262612159
0.0256,0.0791,0.02066778980488634,0.03387904888033615,0.6100463409668564
0.0256,0.0954,0.02072230985282323,0.03384773459401838,0.6122214706943876
0.0256,0.115,0.02078743224581535,0.03381078042801851,0.6148166940443973
